id,creator_account_eid,item_id,created_on,updated_on,note
9db3b637-9861-4ffc-8377-9766a9733795,0e95b194-9577-44b0-a38c-9e3853a277aa,5b52fe7d-1982-4562-8dd1-2f98af8a02d6,2022-02-16 16:19:07.589978 +00:00,2022-02-16 16:19:07.589978 +00:00,"This article includes a portrait of RC near her home in Maine. Photo by Erich Hartmann, courtesy of The Rachel Carson Council."
377efaa8-b32d-47ed-b6b1-961411e8f2fb,0e95b194-9577-44b0-a38c-9e3853a277aa,4d8e4724-57ac-4ea8-8948-1016f29ab427,2022-02-16 16:19:52.190255 +00:00,2022-02-16 16:19:52.190255 +00:00,"Photo of RC from 1951 on the first page of this article. 
"
232dd864-d71d-4115-b807-4d343613eff3,0e95b194-9577-44b0-a38c-9e3853a277aa,7ea9c4c4-73c4-447e-8338-083038e015fd,2022-02-16 16:20:52.676978 +00:00,2022-02-16 16:20:52.676978 +00:00,p48 has photo of RC with Dorothy Freeman
ae07a61c-24c8-4845-bfd8-7c51fd0778ef,0e95b194-9577-44b0-a38c-9e3853a277aa,81587a07-9093-4a4b-ab49-46a4d7ab17ed,2022-02-16 16:16:48.116124 +00:00,2022-02-16 16:16:48.116124 +00:00,Rachel Carson featured in a Peanuts comic
